username,repo_name,stars,repo_url
yarnpkg,yarn,41100,https://github.com/yarnpkg/yarn
Homebrew,brew,35500,https://github.com/Homebrew/brew
composer,composer,27500,https://github.com/composer/composer
python-poetry,poetry,24500,https://github.com/python-poetry/poetry
pnpm,pnpm,22900,https://github.com/pnpm/pnpm
microsoft,winget-cli,19800,https://github.com/microsoft/winget-cli
microsoft,vcpkg,18200,https://github.com/microsoft/vcpkg
bower,bower,15100,https://github.com/bower/bower
Carthage,Carthage,14800,https://github.com/Carthage/Carthage
CocoaPods,CocoaPods,14000,https://github.com/CocoaPods/CocoaPods
golang,dep,13000,https://github.com/golang/dep
rust-lang,cargo,10100,https://github.com/rust-lang/cargo
chocolatey,choco,9000,https://github.com/chocolatey/choco
ds300,patch-package,8400,https://github.com/ds300/patch-package
NixOS,nix,7800,https://github.com/NixOS/nix
volta-cli,volta,7800,https://github.com/volta-cli/volta
zsh-users,antigen,7500,https://github.com/zsh-users/antigen
npm,cli,7000,https://github.com/npm/cli
xmake-io,xmake,6800,https://github.com/xmake-io/xmake
conan-io,conan,6700,https://github.com/conan-io/conan
