username,repo_name,stars,repo_url
gchq,CyberChef,20700,https://github.com/gchq/CyberChef
antlr,antlr4,14100,https://github.com/antlr/antlr4
pydantic,pydantic,13100,https://github.com/pydantic/pydantic
tree-sitter,tree-sitter,11400,https://github.com/tree-sitter/tree-sitter
soxoj,maigret,8300,https://github.com/soxoj/maigret
DoctorWkt,acwj,7900,https://github.com/DoctorWkt/acwj
jquery,esprima,6700,https://github.com/jquery/esprima
marmelroy,PhoneNumberKit,4800,https://github.com/marmelroy/PhoneNumberKit
Leonidas-from-XIV,node-xml2js,4700,https://github.com/Leonidas-from-XIV/node-xml2js
estree,estree,4500,https://github.com/estree/estree
ohmjs,ohm,4400,https://github.com/ohmjs/ohm
troessner,reek,3900,https://github.com/troessner/reek
SBJson,SBJson,3700,https://github.com/SBJson/SBJson
pest-parser,pest,3700,https://github.com/pest-parser/pest
lief-project,LIEF,3600,https://github.com/lief-project/LIEF
timofurrer,maya,3400,https://github.com/timofurrer/maya
kach,nearley,3400,https://github.com/kach/nearley
google,wuffs,3300,https://github.com/google/wuffs
zserge,jsmn,3200,https://github.com/zserge/jsmn
dotnet,command-line-api,3000,https://github.com/dotnet/command-line-api
