username,repo_name,stars,repo_url
learnbyexample,Command-line-text-processing,10100,https://github.com/learnbyexample/Command-line-text-processing
theos,theos,4000,https://github.com/theos/theos
kaitai-io,kaitai_struct,3400,https://github.com/kaitai-io/kaitai_struct
rsnapshot,rsnapshot,2800,https://github.com/rsnapshot/rsnapshot
imapsync,imapsync,2800,https://github.com/imapsync/imapsync
weechat,weechat,2600,https://github.com/weechat/weechat
apache,avro,2500,https://github.com/apache/avro
jfcoz,postgresqltuner,2400,https://github.com/jfcoz/postgresqltuner
mojolicious,mojo,2400,https://github.com/mojolicious/mojo
apache,activemq,2100,https://github.com/apache/activemq
Komodo,KomodoEdit,2100,https://github.com/Komodo/KomodoEdit
exiftool,exiftool,2000,https://github.com/exiftool/exiftool
munin-monitoring,munin,1800,https://github.com/munin-monitoring/munin
kaxap,arl,1800,https://github.com/kaxap/arl
hexsum,Mojo-Webqq,1700,https://github.com/hexsum/Mojo-Webqq
neurobin,shc,1600,https://github.com/neurobin/shc
Perl,perl5,1600,https://github.com/Perl/perl5
htrgouvea,nipe,1600,https://github.com/htrgouvea/nipe
beyondgrep,ack2,1500,https://github.com/beyondgrep/ack2
Difegue,LANraragi,1300,https://github.com/Difegue/LANraragi
