username,repo_name,stars,repo_url
photonstorm,phaser,33900,https://github.com/photonstorm/phaser
nicholas-ochoa,OpenSC2K,4800,https://github.com/nicholas-ochoa/OpenSC2K
ssusnic,Machine-Learning-Flappy-Bird,1800,https://github.com/ssusnic/Machine-Learning-Flappy-Bird
photonstorm,phaser-examples,1700,https://github.com/photonstorm/phaser-examples
channingbreeze,games,1600,https://github.com/channingbreeze/games
lean,phaser-es6-webpack,1300,https://github.com/lean/phaser-es6-webpack
photonstorm,phaser-ce,1300,https://github.com/photonstorm/phaser-ce
rexrainbow,phaser3-rex-notes,1000,https://github.com/rexrainbow/phaser3-rex-notes
digitsensitive,phaser3-typescript,886,https://github.com/digitsensitive/phaser3-typescript
oklemenz,PrinceJS,870,https://github.com/oklemenz/PrinceJS
enable3d,enable3d,757,https://github.com/enable3d/enable3d
kevinshen56714,SkyOffice,706,https://github.com/kevinshen56714/SkyOffice
DragonBones,DragonBonesJS,696,https://github.com/DragonBones/DragonBonesJS
odrick,free-tex-packer,649,https://github.com/odrick/free-tex-packer
lifenautjoe,webpack-starter-basic,577,https://github.com/lifenautjoe/webpack-starter-basic
ganlvtech,phaser-catch-the-cat,506,https://github.com/ganlvtech/phaser-catch-the-cat
jondubois,iogrid,474,https://github.com/jondubois/iogrid
rroylance,phaser-ce-npm-webpack-typescript-starter-project,420,https://github.com/rroylance/phaser-ce-npm-webpack-typescript-starter-project
photonstorm,phaser3-docs,411,https://github.com/photonstorm/phaser3-docs
mailgyc,doudizhu,401,https://github.com/mailgyc/doudizhu
