username,repo_name,stars,repo_url
mattermost,focalboard,14800,https://github.com/mattermost/focalboard
frappe,erpnext,13100,https://github.com/frappe/erpnext
kanboard,kanboard,7100,https://github.com/kanboard/kanboard
opf,openproject,6700,https://github.com/opf/openproject
bbatsov,projectile,3800,https://github.com/bbatsov/projectile
JordanKnott,taskcafe,3600,https://github.com/JordanKnott/taskcafe
taigaio,taiga-front,3500,https://github.com/taigaio/taiga-front
kuaifan,dootask,3400,https://github.com/kuaifan/dootask
gdcmarinho,awesome-project,2700,https://github.com/gdcmarinho/awesome-project
boltpkg,bolt,2300,https://github.com/boltpkg/bolt
200ok-ch,organice,2100,https://github.com/200ok-ch/organice
Leantime,leantime,2100,https://github.com/Leantime/leantime
ONLYOFFICE,CommunityServer,2000,https://github.com/ONLYOFFICE/CommunityServer
lxerxa,actionview,1800,https://github.com/lxerxa/actionview
dephell,dephell,1800,https://github.com/dephell/dephell
a54552239,pearProject,1700,https://github.com/a54552239/pearProject
engineering-management,awesome-engineering-management,1600,https://github.com/engineering-management/awesome-engineering-management
alefragnani,vscode-project-manager,1600,https://github.com/alefragnani/vscode-project-manager
freeplane,freeplane,1500,https://github.com/freeplane/freeplane
kdeldycke,awesome-engineering-team-management,1400,https://github.com/kdeldycke/awesome-engineering-team-management
