username,repo_name,stars,repo_url
TryGhost,Ghost,42800,https://github.com/TryGhost/Ghost
lerna,lerna,34400,https://github.com/lerna/lerna
jgm,pandoc,28400,https://github.com/jgm/pandoc
nteract,papermill,5200,https://github.com/nteract/papermill
timlrx,tailwind-nextjs-starter-blog,4400,https://github.com/timlrx/tailwind-nextjs-starter-blog
Triple-T,gradle-play-publisher,3900,https://github.com/Triple-T/gradle-play-publisher
writefreely,writefreely,3500,https://github.com/writefreely/writefreely
austintoddj,canvas,3100,https://github.com/austintoddj/canvas
themsaid,wink,2700,https://github.com/themsaid/wink
substance,substance,2700,https://github.com/substance/substance
TryGhost,Casper,2400,https://github.com/TryGhost/Casper
intuit,auto,2000,https://github.com/intuit/auto
sile-typesetter,sile,1500,https://github.com/sile-typesetter/sile
w3c,epubcheck,1300,https://github.com/w3c/epubcheck
openjournals,joss,1200,https://github.com/openjournals/joss
substance,texture,993,https://github.com/substance/texture
vanniktech,gradle-maven-publish-plugin,904,https://github.com/vanniktech/gradle-maven-publish-plugin
javiereguiluz,easybook,753,https://github.com/javiereguiluz/easybook
elgohr,Publish-Docker-Github-Action,743,https://github.com/elgohr/Publish-Docker-Github-Action
man-group,notebooker,726,https://github.com/man-group/notebooker
