username,repo_name,stars,repo_url
donnemartin,system-design-primer,216000,https://github.com/donnemartin/system-design-primer
tensorflow,tensorflow,173000,https://github.com/tensorflow/tensorflow
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
vinta,awesome-python,162000,https://github.com/vinta/awesome-python
TheAlgorithms,Python,156000,https://github.com/TheAlgorithms/Python
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
practical-tutorials,project-based-learning,96100,https://github.com/practical-tutorials/project-based-learning
huggingface,transformers,89400,https://github.com/huggingface/transformers
nvbn,thefuck,76600,https://github.com/nvbn/thefuck
django,django,69600,https://github.com/django/django
521xueweihan,HelloGitHub,66800,https://github.com/521xueweihan/HelloGitHub
pytorch,pytorch,64700,https://github.com/pytorch/pytorch
pallets,flask,62400,https://github.com/pallets/flask
home-assistant,core,59300,https://github.com/home-assistant/core
keras-team,keras,57800,https://github.com/keras-team/keras
ansible,ansible,56900,https://github.com/ansible/ansible
tiangolo,fastapi,56100,https://github.com/tiangolo/fastapi
scikit-learn,scikit-learn,53600,https://github.com/scikit-learn/scikit-learn
apache,superset,51300,https://github.com/apache/superset
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
