username,repo_name,stars,repo_url
flameshot-org,flameshot,20600,https://github.com/flameshot-org/flameshot
Swordfish90,cool-retro-term,18500,https://github.com/Swordfish90/cool-retro-term
matplotlib,matplotlib,17100,https://github.com/matplotlib/matplotlib
SFTtech,openage,11600,https://github.com/SFTtech/openage
PySimpleGUI,PySimpleGUI,11400,https://github.com/PySimpleGUI/PySimpleGUI
therecipe,qt,9700,https://github.com/therecipe/qt
mapeditor,tiled,9500,https://github.com/mapeditor/tiled
musescore,MuseScore,9400,https://github.com/musescore/MuseScore
jopohl,urh,9300,https://github.com/jopohl/urh
barry-ran,QtScrcpy,9100,https://github.com/barry-ran/QtScrcpy
qutebrowser,qutebrowser,8500,https://github.com/qutebrowser/qutebrowser
nodegui,nodegui,8400,https://github.com/nodegui/nodegui
spyder-ide,spyder,7500,https://github.com/spyder-ide/spyder
visualfc,liteide,7200,https://github.com/visualfc/liteide
olive-editor,olive,6900,https://github.com/olive-editor/olive
albertlauncher,albert,6700,https://github.com/albertlauncher/albert
nodegui,react-nodegui,6100,https://github.com/nodegui/react-nodegui
dail8859,NotepadNext,5800,https://github.com/dail8859/NotepadNext
moonlight-stream,moonlight-qt,5100,https://github.com/moonlight-stream/moonlight-qt
qTox,qTox,4500,https://github.com/qTox/qTox
