username,repo_name,stars,repo_url
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
nocodb,nocodb,35200,https://github.com/nocodb/nocodb
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
Kong,insomnia,27400,https://github.com/Kong/insomnia
httpie,httpie,27100,https://github.com/httpie/httpie
gofiber,fiber,25500,https://github.com/gofiber/fiber
swagger-api,swagger-ui,23600,https://github.com/swagger-api/swagger-ui
zeromicro,go-zero,23600,https://github.com/zeromicro/go-zero
microsoft,api-guidelines,21200,https://github.com/microsoft/api-guidelines
parse-community,parse-server,20200,https://github.com/parse-community/parse-server
OpenAPITools,openapi-generator,15800,https://github.com/OpenAPITools/openapi-generator
swagger-api,swagger-codegen,15500,https://github.com/swagger-api/swagger-codegen
grpc-ecosystem,grpc-gateway,15200,https://github.com/grpc-ecosystem/grpc-gateway
go-chi,chi,13800,https://github.com/go-chi/chi
restify,node-restify,10600,https://github.com/restify/node-restify
binwiederhier,ntfy,9800,https://github.com/binwiederhier/ntfy
r-spacex,SpaceX-API,9800,https://github.com/r-spacex/SpaceX-API
httpie,http-prompt,8700,https://github.com/httpie/http-prompt
dotnet-architecture,eShopOnWeb,8600,https://github.com/dotnet-architecture/eShopOnWeb
cakephp,cakephp,8600,https://github.com/cakephp/cakephp
