username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,364000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,205000,https://github.com/facebook/react
facebook,react-native,109000,https://github.com/facebook/react-native
vercel,next.js,104000,https://github.com/vercel/next.js
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
facebook,create-react-app,99300,https://github.com/facebook/create-react-app
mui,material-ui,85500,https://github.com/mui/material-ui
ant-design,ant-design,85200,https://github.com/ant-design/ant-design
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
enaqx,awesome-react,54600,https://github.com/enaqx/awesome-react
gatsbyjs,gatsby,54300,https://github.com/gatsbyjs/gatsby
apache,superset,51300,https://github.com/apache/superset
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
meteor,meteor,43400,https://github.com/meteor/meteor
facebook,docusaurus,43400,https://github.com/facebook/docusaurus
vercel,hyper,40600,https://github.com/vercel/hyper
oven-sh,bun,40300,https://github.com/oven-sh/bun
typescript-cheatsheets,react,40300,https://github.com/typescript-cheatsheets/react
styled-components,styled-components,38500,https://github.com/styled-components/styled-components
