username,repo_name,stars,repo_url
reduxjs,redux,59400,https://github.com/reduxjs/redux
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
react-boilerplate,react-boilerplate,29100,https://github.com/react-boilerplate/react-boilerplate
sudheerj,reactjs-interview-questions,28400,https://github.com/sudheerj/reactjs-interview-questions
immerjs,immer,24900,https://github.com/immerjs/immer
reduxjs,react-redux,22700,https://github.com/reduxjs/react-redux
redux-saga,redux-saga,22400,https://github.com/redux-saga/redux-saga
markerikson,react-redux-links,22200,https://github.com/markerikson/react-redux-links
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
Asabeneh,30-Days-Of-React,20000,https://github.com/Asabeneh/30-Days-Of-React
verekia,js-stack-from-scratch,19800,https://github.com/verekia/js-stack-from-scratch
responsively-org,responsively-app,19500,https://github.com/responsively-org/responsively-app
reduxjs,reselect,18900,https://github.com/reduxjs/reselect
dvajs,dva,16100,https://github.com/dvajs/dva
grab,front-end-guide,14800,https://github.com/grab/front-end-guide
infinitered,reactotron,14000,https://github.com/infinitered/reactotron
zalmoxisus,redux-devtools-extension,13500,https://github.com/zalmoxisus/redux-devtools-extension
piotrwitek,react-redux-typescript-guide,13000,https://github.com/piotrwitek/react-redux-typescript-guide
redux-form,redux-form,12600,https://github.com/redux-form/redux-form
rt2zz,redux-persist,12500,https://github.com/rt2zz/redux-persist
