username,repo_name,stars,repo_url
DopplerHQ,awesome-interview-questions,54500,https://github.com/DopplerHQ/awesome-interview-questions
rails,rails,52600,https://github.com/rails/rails
jekyll,jekyll,46400,https://github.com/jekyll/jekyll
discourse,discourse,37600,https://github.com/discourse/discourse
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
Homebrew,brew,35500,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
SeleniumHQ,selenium,26200,https://github.com/SeleniumHQ/selenium
hashicorp,vagrant,25100,https://github.com/hashicorp/vagrant
gitlabhq,gitlabhq,23200,https://github.com/gitlabhq/gitlabhq
heartcombo,devise,23100,https://github.com/heartcombo/devise
forem,forem,20400,https://github.com/forem/forem
ruby,ruby,20100,https://github.com/ruby/ruby
oracle,graal,18400,https://github.com/oracle/graal
asdf-vm,asdf,17200,https://github.com/asdf-vm/asdf
rubocop,ruby-style-guide,16200,https://github.com/rubocop/ruby-style-guide
lewagon,setup,15400,https://github.com/lewagon/setup
rbenv,rbenv,14900,https://github.com/rbenv/rbenv
diaspora,diaspora,13200,https://github.com/diaspora/diaspora
markets,awesome-ruby,12800,https://github.com/markets/awesome-ruby
