username,repo_name,stars,repo_url
denoland,deno,88800,https://github.com/denoland/deno
rust-lang,rust,79700,https://github.com/rust-lang/rust
tauri-apps,tauri,61600,https://github.com/tauri-apps/tauri
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
sharkdp,bat,40500,https://github.com/sharkdp/bat
rustdesk,rustdesk,40100,https://github.com/rustdesk/rustdesk
BurntSushi,ripgrep,36900,https://github.com/BurntSushi/ripgrep
rust-lang,rustlings,36500,https://github.com/rust-lang/rustlings
meilisearch,meilisearch,35300,https://github.com/meilisearch/meilisearch
rust-unofficial,awesome-rust,33600,https://github.com/rust-unofficial/awesome-rust
starship,starship,33500,https://github.com/starship/starship
AppFlowy-IO,AppFlowy,33200,https://github.com/AppFlowy-IO/AppFlowy
lencx,ChatGPT,28800,https://github.com/lencx/ChatGPT
yewstack,yew,27000,https://github.com/yewstack/yew
sharkdp,fd,26900,https://github.com/sharkdp/fd
swc-project,swc,26800,https://github.com/swc-project/swc
dani-garcia,vaultwarden,24100,https://github.com/dani-garcia/vaultwarden
nushell,nushell,24100,https://github.com/nushell/nushell
bevyengine,bevy,23000,https://github.com/bevyengine/bevy
servo,servo,22800,https://github.com/servo/servo
