username,repo_name,stars,repo_url
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
apache,spark,35400,https://github.com/apache/spark
pingcap,tidb,33700,https://github.com/pingcap/tidb
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
ClickHouse,ClickHouse,27800,https://github.com/ClickHouse/ClickHouse
sequelize,sequelize,27700,https://github.com/sequelize/sequelize
cockroachdb,cockroach,26900,https://github.com/cockroachdb/cockroach
taosdata,TDengine,21100,https://github.com/taosdata/TDengine
apache,flink,21000,https://github.com/apache/flink
directus,directus,20800,https://github.com/directus/directus
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
osquery,osquery,20200,https://github.com/osquery/osquery
surrealdb,surrealdb,19200,https://github.com/surrealdb/surrealdb
mybatis,mybatis-3,18300,https://github.com/mybatis/mybatis-3
apache,shardingsphere,18200,https://github.com/apache/shardingsphere
knex,knex,17400,https://github.com/knex/knex
DapperLib,Dapper,16000,https://github.com/DapperLib/Dapper
cube-js,cube,14800,https://github.com/cube-js/cube
timescale,timescaledb,14800,https://github.com/timescale/timescaledb
prestodb,presto,14600,https://github.com/prestodb/presto
