username,repo_name,stars,repo_url
twbs,bootstrap,163000,https://github.com/twbs/bootstrap
bailicangdu,vue2-elm,39900,https://github.com/bailicangdu/vue2-elm
tabler,tabler,33600,https://github.com/tabler/tabler
IanLunn,Hover,28300,https://github.com/IanLunn/Hover
akveo,ngx-admin,24400,https://github.com/akveo/ngx-admin
palantir,blueprint,19700,https://github.com/palantir/blueprint
chatwoot,chatwoot,14900,https://github.com/chatwoot/chatwoot
primer,css,11900,https://github.com/primer/css
thoughtbot,bourbon,9100,https://github.com/thoughtbot/bourbon
akveo,nebular,7800,https://github.com/akveo/nebular
pahen,madge,7200,https://github.com/pahen/madge
jonsuh,hamburgers,6900,https://github.com/jonsuh/hamburgers
linkedin,css-blocks,6300,https://github.com/linkedin/css-blocks
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
elastic,eui,5700,https://github.com/elastic/eui
maximegris,angular-electron,5300,https://github.com/maximegris/angular-electron
kazzkiq,balloon.css,5000,https://github.com/kazzkiq/balloon.css
elrumordelaluz,csshake,4800,https://github.com/elrumordelaluz/csshake
thoughtbot,neat,4500,https://github.com/thoughtbot/neat
RyanFitzgerald,devportfolio,4000,https://github.com/RyanFitzgerald/devportfolio
