username,repo_name,stars,repo_url
apache,spark,35400,https://github.com/apache/spark
apache,kafka,24500,https://github.com/apache/kafka
apache,flink,21000,https://github.com/apache/flink
scala,scala,14000,https://github.com/scala/scala
heibaiying,BigData-Notes,13600,https://github.com/heibaiying/BigData-Notes
lichess-org,lila,12900,https://github.com/lichess-org/lila
deeplearning4j,deeplearning4j,12900,https://github.com/deeplearning4j/deeplearning4j
apache,predictionio,12600,https://github.com/apache/predictionio
playframework,playframework,12400,https://github.com/playframework/playframework
yahoo,CMAK,11300,https://github.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,10100,https://github.com/hmemcpy/milewski-ctfp-pdf
kanaka,mal,9200,https://github.com/kanaka/mal
gitbucket,gitbucket,8900,https://github.com/gitbucket/gitbucket
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
lauris,awesome-scala,8700,https://github.com/lauris/awesome-scala
twitter,finagle,8500,https://github.com/twitter/finagle
Angel-ML,angel,6600,https://github.com/Angel-ML/angel
apache,zeppelin,6000,https://github.com/apache/zeppelin
gatling,gatling,5900,https://github.com/gatling/gatling
lampepfl,dotty,5300,https://github.com/lampepfl/dotty
