username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
nvbn,thefuck,76600,https://github.com/nvbn/thefuck
nvm-sh,nvm,65900,https://github.com/nvm-sh/nvm
git,git,45800,https://github.com/git/git
tldr-pages,tldr,43700,https://github.com/tldr-pages/tldr
ryanoasis,nerd-fonts,42600,https://github.com/ryanoasis/nerd-fonts
pi-hole,pi-hole,41800,https://github.com/pi-hole/pi-hole
PowerShell,PowerShell,37700,https://github.com/PowerShell/PowerShell
google,zx,36900,https://github.com/google/zx
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
dylanaraps,pure-bash-bible,33200,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,31800,https://github.com/koalaman/shellcheck
pyenv,pyenv,31300,https://github.com/pyenv/pyenv
acmesh-official,acme.sh,30900,https://github.com/acmesh-official/acme.sh
herrbischoff,awesome-macos-command-line,27300,https://github.com/herrbischoff/awesome-macos-command-line
alebcay,awesome-shell,27000,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,26300,https://github.com/ibraheemdev/modern-unix
zsh-users,zsh-autosuggestions,25700,https://github.com/zsh-users/zsh-autosuggestions
cmderdev,cmder,24600,https://github.com/cmderdev/cmder
nushell,nushell,24100,https://github.com/nushell/nushell
