username,repo_name,stars,repo_url
airbnb,react-sketchapp,15000,https://github.com/airbnb/react-sketchapp
gztchan,awesome-design,14500,https://github.com/gztchan/awesome-design
tldraw,tldraw,12800,https://github.com/tldraw/tldraw
casesandberg,react-color,11300,https://github.com/casesandberg/react-color
themerdev,themer,5100,https://github.com/themerdev/themer
sketchplugins,plugin-directory,3400,https://github.com/sketchplugins/plugin-directory
weui,weui-design,2800,https://github.com/weui/weui-design
weixin,Miaow,2500,https://github.com/weixin/Miaow
mathieudutour,git-sketch-plugin,2500,https://github.com/mathieudutour/git-sketch-plugin
matt-curtis,Fluid-for-Sketch,2400,https://github.com/matt-curtis/Fluid-for-Sketch
andrewfiorillo,sketch-palettes,2300,https://github.com/andrewfiorillo/sketch-palettes
DWilliames,paddy-sketch-plugin,2200,https://github.com/DWilliames/paddy-sketch-plugin
ajstarks,svgo,2000,https://github.com/ajstarks/svgo
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
html-sketchapp,html-sketchapp,1800,https://github.com/html-sketchapp/html-sketchapp
Mukosame,Anime2Sketch,1700,https://github.com/Mukosame/Anime2Sketch
dataliterate,data-populator,1700,https://github.com/dataliterate/data-populator
kactus-io,kactus,1500,https://github.com/kactus-io/kactus
vydd,sketch,1300,https://github.com/vydd/sketch
carbon-design-system,carbon-design-kit,1000,https://github.com/carbon-design-system/carbon-design-kit
