username,repo_name,stars,repo_url
zerotier,ZeroTierOne,10700,https://github.com/zerotier/ZeroTierOne
mininet,mininet,4800,https://github.com/mininet/mininet
kubeovn,kube-ovn,1500,https://github.com/kubeovn/kube-ovn
feiskyer,sdn-handbook,1200,https://github.com/feiskyer/sdn-handbook
sdnds-tw,awesome-sdn,1200,https://github.com/sdnds-tw/awesome-sdn
ansyun,dpdk-ans,1100,https://github.com/ansyun/dpdk-ans
tonydeng,sdn-handbook,1000,https://github.com/tonydeng/sdn-handbook
dec0dOS,zero-ui,586,https://github.com/dec0dOS/zero-ui
faucetsdn,faucet,481,https://github.com/faucetsdn/faucet
FabEdge,fabedge,475,https://github.com/FabEdge/fabedge
IQTLabs,poseidon,380,https://github.com/IQTLabs/poseidon
YanHaoChen,Learning-SDN,336,https://github.com/YanHaoChen/Learning-SDN
bregman-arie,computer-networking,332,https://github.com/bregman-arie/computer-networking
stratum,stratum,317,https://github.com/stratum/stratum
CPqD,ofsoftswitch13,289,https://github.com/CPqD/ofsoftswitch13
vedetta-com,vedetta,285,https://github.com/vedetta-com/vedetta
KatharaFramework,Kathara,278,https://github.com/KatharaFramework/Kathara
smartbgp,yabgp,217,https://github.com/smartbgp/yabgp
husarnet,husarnet,213,https://github.com/husarnet/husarnet
knowledgedefinednetworking,a-deep-rl-approach-for-sdn-routing-optimization,205,https://github.com/knowledgedefinednetworking/a-deep-rl-approach-for-sdn-routing-optimization
