username,repo_name,stars,repo_url
SpaceVim,SpaceVim,19700,https://github.com/SpaceVim/SpaceVim
wsdjeg,vim-galore-zh_cn,9600,https://github.com/wsdjeg/vim-galore-zh_cn
wsdjeg,.SpaceVim.d,1400,https://github.com/wsdjeg/.SpaceVim.d
wsdjeg,vim-chat,510,https://github.com/wsdjeg/vim-chat
Gabirel,Hack-SpaceVim,447,https://github.com/Gabirel/Hack-SpaceVim
ctjhoa,spacevim,367,https://github.com/ctjhoa/spacevim
wsdjeg,FlyGrep.vim,296,https://github.com/wsdjeg/FlyGrep.vim
wsdjeg,GitHub.vim,194,https://github.com/wsdjeg/GitHub.vim
wsdjeg,JavaUnit.vim,108,https://github.com/wsdjeg/JavaUnit.vim
wsdjeg,imenu.vim,100,https://github.com/wsdjeg/imenu.vim
wsdjeg,job.vim,92,https://github.com/wsdjeg/job.vim
SpaceVim,vim-markdown,75,https://github.com/SpaceVim/vim-markdown
prontera,ideavimrc,75,https://github.com/prontera/ideavimrc
mrbeardad,SpaceVim,72,https://github.com/mrbeardad/SpaceVim
SpaceVim,gtags.vim,71,https://github.com/SpaceVim/gtags.vim
SpaceVim,cscope.vim,67,https://github.com/SpaceVim/cscope.vim
Tehnix,spaceneovim-layers,40,https://github.com/Tehnix/spaceneovim-layers
everettjf,SpaceVimTutorial,13,https://github.com/everettjf/SpaceVimTutorial
lucasprag,vimlociraptor,13,https://github.com/lucasprag/vimlociraptor
wsdjeg,vim-pact,10,https://github.com/wsdjeg/vim-pact
