username,repo_name,stars,repo_url
spring-projects,spring-boot,66400,https://github.com/spring-projects/spring-boot
macrozheng,mall,64500,https://github.com/macrozheng/mall
jeecgboot,jeecg-boot,34100,https://github.com/jeecgboot/jeecg-boot
xkcoding,spring-boot-demo,29100,https://github.com/xkcoding/spring-boot-demo
ityouknow,spring-boot-examples,28700,https://github.com/ityouknow/spring-boot-examples
apolloconfig,apollo,27900,https://github.com/apolloconfig/apollo
wuyouzhuguli,SpringAll,25300,https://github.com/wuyouzhuguli/SpringAll
jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
elunez,eladmin,19500,https://github.com/elunez/eladmin
linlinjava,litemall,17900,https://github.com/linlinjava/litemall
forezp,SpringCloudLearning,17200,https://github.com/forezp/SpringCloudLearning
yudaocode,SpringBoot-Labs,16400,https://github.com/yudaocode/SpringBoot-Labs
dyc87112,SpringBoot-Learning,15100,https://github.com/dyc87112/SpringBoot-Learning
chuzhixin,vue-admin-better,13900,https://github.com/chuzhixin/vue-admin-better
sqshq,piggymetrics,12300,https://github.com/sqshq/piggymetrics
codecentric,spring-boot-admin,11600,https://github.com/codecentric/spring-boot-admin
apereo,cas,10100,https://github.com/apereo/cas
newbee-ltd,newbee-mall,9900,https://github.com/newbee-ltd/newbee-mall
lihengming,spring-boot-api-project-seed,9300,https://github.com/lihengming/spring-boot-api-project-seed
Netflix,conductor,8400,https://github.com/Netflix/conductor
