username,repo_name,stars,repo_url
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
nrwl,nx,17100,https://github.com/nrwl/nx
diegohaz,arc,2900,https://github.com/diegohaz/arc
vuesion,vuesion,2700,https://github.com/vuesion/vuesion
chromaui,learnstorybook.com,2400,https://github.com/chromaui/learnstorybook.com
React95,React95,2300,https://github.com/React95/React95
BuilderIO,figma-html,2200,https://github.com/BuilderIO/figma-html
trungk18,jira-clone-angular,2000,https://github.com/trungk18/jira-clone-angular
AdaptiveConsulting,ReactiveTraderCloud,1800,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
danilowoz,react-atomic-design,1600,https://github.com/danilowoz/react-atomic-design
oblador,loki,1600,https://github.com/oblador/loki
pankod,next-boilerplate,1500,https://github.com/pankod/next-boilerplate
jj811208,watching-you,1400,https://github.com/jj811208/watching-you
ifmeorg,ifme,1400,https://github.com/ifmeorg/ifme
NiGhTTraX,ts-monorepo,1200,https://github.com/NiGhTTraX/ts-monorepo
TowhidKashem,snapchat-clone,981,https://github.com/TowhidKashem/snapchat-clone
vue-play,vue-play,977,https://github.com/vue-play/vue-play
themesberg,flowbite-react,884,https://github.com/themesberg/flowbite-react
storybook-eol,storybook-deployer,881,https://github.com/storybook-eol/storybook-deployer
lost-pixel,lost-pixel,877,https://github.com/lost-pixel/lost-pixel
