username,repo_name,stars,repo_url
frappe,erpnext,13100,https://github.com/frappe/erpnext
zammad,zammad,3300,https://github.com/zammad/zammad
helpyio,helpy,2300,https://github.com/helpyio/helpy
freescout-helpdesk,freescout,1900,https://github.com/freescout-helpdesk/freescout
django-helpdesk,django-helpdesk,1400,https://github.com/django-helpdesk/django-helpdesk
mattmezza,vue-beautiful-chat,1300,https://github.com/mattmezza/vue-beautiful-chat
BadChoice,handesk,1300,https://github.com/BadChoice/handesk
espocrm,espocrm,1100,https://github.com/espocrm/espocrm
polonel,trudesk,999,https://github.com/polonel/trudesk
opensupports,opensupports,780,https://github.com/opensupports/opensupports
bestpractical,rt,727,https://github.com/bestpractical/rt
rocketshipapps,adblockfast,685,https://github.com/rocketshipapps/adblockfast
fateshen,iOSDeviceSupport,359,https://github.com/fateshen/iOSDeviceSupport
blakmatrix,node-zendesk,320,https://github.com/blakmatrix/node-zendesk
spatie,laravel-support-bubble,294,https://github.com/spatie/laravel-support-bubble
system76,docs,287,https://github.com/system76/docs
pranavpandey,dynamic-support,256,https://github.com/pranavpandey/dynamic-support
devaslanphp,project-management,253,https://github.com/devaslanphp/project-management
slowtec,tokio-modbus,249,https://github.com/slowtec/tokio-modbus
ohld,telegram-support-bot,222,https://github.com/ohld/telegram-support-bot
