username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
Alamofire,Alamofire,39100,https://github.com/Alamofire/Alamofire
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,34200,https://github.com/dkhamsing/open-source-ios-apps
iina,iina,32900,https://github.com/iina/iina
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
shadowsocks,ShadowsocksX-NG,31300,https://github.com/shadowsocks/ShadowsocksX-NG
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
kodecocodes,swift-algorithm-club,27600,https://github.com/kodecocodes/swift-algorithm-club
SDWebImage,SDWebImage,24500,https://github.com/SDWebImage/SDWebImage
airbnb,lottie-ios,23800,https://github.com/airbnb/lottie-ios
ReactiveX,RxSwift,23200,https://github.com/ReactiveX/RxSwift
matteocrippa,awesome-swift,23100,https://github.com/matteocrippa/awesome-swift
vapor,vapor,22700,https://github.com/vapor/vapor
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
SwiftyJSON,SwiftyJSON,21900,https://github.com/SwiftyJSON/SwiftyJSON
MonitorControl,MonitorControl,21400,https://github.com/MonitorControl/MonitorControl
HeroTransitions,Hero,21300,https://github.com/HeroTransitions/Hero
onevcat,Kingfisher,21100,https://github.com/onevcat/Kingfisher
ReactiveCocoa,ReactiveCocoa,20000,https://github.com/ReactiveCocoa/ReactiveCocoa
