username,repo_name,stars,repo_url
symfony,symfony,28200,https://github.com/symfony/symfony
getgrav,grav,13700,https://github.com/getgrav/grav
symfony,console,9400,https://github.com/symfony/console
symfony,http-foundation,8400,https://github.com/symfony/http-foundation
symfony,event-dispatcher,8300,https://github.com/symfony/event-dispatcher
symfony,finder,8200,https://github.com/symfony/finder
wallabag,wallabag,8100,https://github.com/wallabag/wallabag
symfony,http-kernel,7900,https://github.com/symfony/http-kernel
api-platform,api-platform,7800,https://github.com/api-platform/api-platform
symfony,polyfill-mbstring,7600,https://github.com/symfony/polyfill-mbstring
symfony,routing,7400,https://github.com/symfony/routing
symfony,debug,7300,https://github.com/symfony/debug
Sylius,Sylius,7300,https://github.com/Sylius/Sylius
symfony,css-selector,7200,https://github.com/symfony/css-selector
symfony,process,7200,https://github.com/symfony/process
symfony,var-dumper,7200,https://github.com/symfony/var-dumper
php-pm,php-pm,6500,https://github.com/php-pm/php-pm
symfony,translation,6400,https://github.com/symfony/translation
pagekit,pagekit,5500,https://github.com/pagekit/pagekit
doctrine,DoctrineBundle,4500,https://github.com/doctrine/DoctrineBundle
