username,repo_name,stars,repo_url
tqdm,tqdm,24400,https://github.com/tqdm/tqdm
DIYgod,RSSHub,23800,https://github.com/DIYgod/RSSHub
DrKLO,Telegram,21800,https://github.com/DrKLO/Telegram
python-telegram-bot,python-telegram-bot,21500,https://github.com/python-telegram-bot/python-telegram-bot
telegramdesktop,tdesktop,21500,https://github.com/telegramdesktop/tdesktop
OpenIMSDK,Open-IM-Server,10600,https://github.com/OpenIMSDK/Open-IM-Server
tinode,chat,10100,https://github.com/tinode/chat
pppscn,SmsForwarder,8400,https://github.com/pppscn/SmsForwarder
zhukov,webogram,7800,https://github.com/zhukov/webogram
LonamiWebs,Telethon,7600,https://github.com/LonamiWebs/Telethon
yagop,node-telegram-bot-api,7000,https://github.com/yagop/node-telegram-bot-api
eternnoir,pyTelegramBotAPI,6700,https://github.com/eternnoir/pyTelegramBotAPI
telegraf,telegraf,6600,https://github.com/telegraf/telegraf
ramboxapp,community-edition,6300,https://github.com/ramboxapp/community-edition
42wim,matterbridge,5600,https://github.com/42wim/matterbridge
dillidon,alerts-and-pickers,5500,https://github.com/dillidon/alerts-and-pickers
tdlib,td,5500,https://github.com/tdlib/td
itgoyo,TelegramGroup,5000,https://github.com/itgoyo/TelegramGroup
relatedcode,Messenger,4500,https://github.com/relatedcode/Messenger
go-telegram-bot-api,telegram-bot-api,4500,https://github.com/go-telegram-bot-api/telegram-bot-api
