username,repo_name,stars,repo_url
tensorflow,tensorflow,173000,https://github.com/tensorflow/tensorflow
huggingface,transformers,89400,https://github.com/huggingface/transformers
keras-team,keras,57800,https://github.com/keras-team/keras
aymericdamien,TensorFlow-Examples,42700,https://github.com/aymericdamien/TensorFlow-Examples
CorentinJ,Real-Time-Voice-Cloning,40600,https://github.com/CorentinJ/Real-Time-Voice-Cloning
google-research,bert,33700,https://github.com/google-research/bert
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
photoprism,photoprism,25400,https://github.com/photoprism/photoprism
ageron,handson-ml,25000,https://github.com/ageron/handson-ml
ray-project,ray,24900,https://github.com/ray-project/ray
donnemartin,data-science-ipython-notebooks,24800,https://github.com/donnemartin/data-science-ipython-notebooks
matterport,Mask_RCNN,22900,https://github.com/matterport/Mask_RCNN
deezer,spleeter,22100,https://github.com/deezer/spleeter
lutzroeder,netron,21800,https://github.com/lutzroeder/netron
mozilla,DeepSpeech,21500,https://github.com/mozilla/DeepSpeech
MLEveryday,100-Days-Of-ML-Code,19600,https://github.com/MLEveryday/100-Days-Of-ML-Code
d2l-ai,d2l-en,17200,https://github.com/d2l-ai/d2l-en
Tencent,ncnn,16800,https://github.com/Tencent/ncnn
instillai,TensorFlow-Course,16300,https://github.com/instillai/TensorFlow-Course
huggingface,datasets,15700,https://github.com/huggingface/datasets
