username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
microsoft,terminal,88200,https://github.com/microsoft/terminal
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
Eugeny,tabby,44500,https://github.com/Eugeny/tabby
tldr-pages,tldr,43700,https://github.com/tldr-pages/tldr
Textualize,rich,42700,https://github.com/Textualize/rich
vercel,hyper,40600,https://github.com/vercel/hyper
sharkdp,bat,40500,https://github.com/sharkdp/bat
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
chubin,cheat.sh,35000,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,33700,https://github.com/jesseduffield/lazygit
herrbischoff,awesome-macos-command-line,27300,https://github.com/herrbischoff/awesome-macos-command-line
httpie,httpie,27100,https://github.com/httpie/httpie
sharkdp,fd,26900,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,26300,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,24400,https://github.com/tqdm/tqdm
mbadolato,iTerm2-Color-Schemes,22900,https://github.com/mbadolato/iTerm2-Color-Schemes
nicolargo,glances,22500,https://github.com/nicolargo/glances
withfig,autocomplete,21700,https://github.com/withfig/autocomplete
zyedidia,micro,21300,https://github.com/zyedidia/micro
