username,repo_name,stars,repo_url
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
hashicorp,terraform,36800,https://github.com/hashicorp/terraform
MichaelCade,90DaysOfDevOps,22200,https://github.com/MichaelCade/90DaysOfDevOps
GoogleCloudPlatform,microservices-demo,13900,https://github.com/GoogleCloudPlatform/microservices-demo
GoogleCloudPlatform,terraformer,9900,https://github.com/GoogleCloudPlatform/terraformer
infracost,infracost,8900,https://github.com/infracost/infracost
hashicorp,terraform-provider-aws,8400,https://github.com/hashicorp/terraform-provider-aws
gruntwork-io,terratest,6800,https://github.com/gruntwork-io/terratest
khuedoan,homelab,6700,https://github.com/khuedoan/homelab
gruntwork-io,terragrunt,6700,https://github.com/gruntwork-io/terragrunt
runatlantis,atlantis,6000,https://github.com/runatlantis/atlantis
aquasecurity,tfsec,5700,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5500,https://github.com/budtmo/docker-android
bridgecrewio,checkov,5400,https://github.com/bridgecrewio/checkov
hobby-kube,guide,5400,https://github.com/hobby-kube/guide
turbot,steampipe,5000,https://github.com/turbot/steampipe
KubeOperator,KubeOperator,4600,https://github.com/KubeOperator/KubeOperator
dtan4,terraforming,4300,https://github.com/dtan4/terraforming
hashicorp,terraform-cdk,4300,https://github.com/hashicorp/terraform-cdk
shuaibiyy,awesome-terraform,4200,https://github.com/shuaibiyy/awesome-terraform
