username,repo_name,stars,repo_url
huginn,huginn,38000,https://github.com/huginn/huginn
GorvGoyl,Clone-Wars,23900,https://github.com/GorvGoyl/Clone-Wars
DIYgod,RSSHub,23800,https://github.com/DIYgod/RSSHub
twintproject,twint,14800,https://github.com/twintproject/twint
tw93,Pake,13100,https://github.com/tw93/Pake
KurtBestor,Hitomi-Downloader,12100,https://github.com/KurtBestor/Hitomi-Downloader
tweepy,tweepy,9600,https://github.com/tweepy/tweepy
aritraroy,UltimateAndroidReference,7700,https://github.com/aritraroy/UltimateAndroidReference
mikf,gallery-dl,7100,https://github.com/mikf/gallery-dl
zedeus,nitter,7000,https://github.com/zedeus/nitter
maxbbraun,trump2cash,6200,https://github.com/maxbbraun/trump2cash
megadose,holehe,4500,https://github.com/megadose/holehe
optonaut,ActiveLabel.swift,4300,https://github.com/optonaut/ActiveLabel.swift
abraham,twitteroauth,4200,https://github.com/abraham/twitteroauth
mendel5,alternative-front-ends,3800,https://github.com/mendel5/alternative-front-ends
orakaro,rainbowstream,3500,https://github.com/orakaro/rainbowstream
bisguzar,twitter-scraper,3500,https://github.com/bisguzar/twitter-scraper
kni-labs,rrssb,3400,https://github.com/kni-labs/rrssb
mholt,timeliner,3400,https://github.com/mholt/timeliner
RipMeApp,ripme,3400,https://github.com/RipMeApp/ripme
