username,repo_name,stars,repo_url
microsoft,vscode,144000,https://github.com/microsoft/vscode
microsoft,TypeScript,90000,https://github.com/microsoft/TypeScript
denoland,deno,88800,https://github.com/denoland/deno
angular,angular,87200,https://github.com/angular/angular
mui,material-ui,85500,https://github.com/mui/material-ui
ant-design,ant-design,85200,https://github.com/ant-design/ant-design
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
mermaid-js,mermaid,56100,https://github.com/mermaid-js/mermaid
nestjs,nest,55600,https://github.com/nestjs/nest
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
prettier,prettier,45200,https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,43400,https://github.com/DefinitelyTyped/DefinitelyTyped
oven-sh,bun,40300,https://github.com/oven-sh/bun
typescript-cheatsheets,react,40300,https://github.com/typescript-cheatsheets/react
vuetifyjs,vuetify,36800,https://github.com/vuetifyjs/vuetify
evanw,esbuild,35000,https://github.com/evanw/esbuild
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
react-hook-form,react-hook-form,34100,https://github.com/react-hook-form/react-hook-form
microsoft,monaco-editor,33500,https://github.com/microsoft/monaco-editor
NervJS,taro,32600,https://github.com/NervJS/taro
