username,repo_name,stars,repo_url
Nyr,openvpn-install,16800,https://github.com/Nyr/openvpn-install
angristan,openvpn-install,9700,https://github.com/angristan/openvpn-install
dnschneid,crouton,8300,https://github.com/dnschneid/crouton
oguzhaninan,Stacer,8300,https://github.com/oguzhaninan/Stacer
judasn,Linux-Tutorial,8000,https://github.com/judasn/Linux-Tutorial
wszqkzqk,deepin-wine-ubuntu,6000,https://github.com/wszqkzqk/deepin-wine-ubuntu
GetPublii,Publii,5400,https://github.com/GetPublii/Publii
adi1090x,rofi,5000,https://github.com/adi1090x/rofi
adi1090x,polybar-themes,4900,https://github.com/adi1090x/polybar-themes
boltgolt,howdy,4600,https://github.com/boltgolt/howdy
89luca89,distrobox,4300,https://github.com/89luca89/distrobox
chef,bento,4000,https://github.com/chef/bento
GopeedLab,gopeed,4000,https://github.com/GopeedLab/gopeed
Gictorbit,photoshopCClinux,3800,https://github.com/Gictorbit/photoshopCClinux
anmoljagetia,Flatabulous,3700,https://github.com/anmoljagetia/Flatabulous
dvorka,hstr,3500,https://github.com/dvorka/hstr
johang,btfs,3100,https://github.com/johang/btfs
Slackadays,Clipboard,3100,https://github.com/Slackadays/Clipboard
Nyr,wireguard-install,2800,https://github.com/Nyr/wireguard-install
armbian,build,2800,https://github.com/armbian/build
