username,repo_name,stars,repo_url
hashicorp,vagrant,25100,https://github.com/hashicorp/vagrant
geerlingguy,ansible-for-devops,6800,https://github.com/geerlingguy/ansible-for-devops
Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
clong,DetectionLab,4100,https://github.com/clong/DetectionLab
chef,bento,4000,https://github.com/chef/bento
ServiceStack,redis-windows,2700,https://github.com/ServiceStack/redis-windows
roots,trellis,2400,https://github.com/roots/trellis
vagrant-libvirt,vagrant-libvirt,2200,https://github.com/vagrant-libvirt/vagrant-libvirt
ianmiell,shutit,2100,https://github.com/ianmiell/shutit
leucos,ansible-tuto,2100,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,2100,https://github.com/Artemmkin/infrastructure-as-code-tutorial
geerlingguy,ansible-vagrant-examples,2000,https://github.com/geerlingguy/ansible-vagrant-examples
rootsongjc,kubernetes-vagrant-centos-cluster,1900,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster
ChristianLempa,boilerplates,1800,https://github.com/ChristianLempa/boilerplates
magma,magma,1500,https://github.com/magma/magma
scottslowe,learning-tools,1400,https://github.com/scottslowe/learning-tools
geerlingguy,drupal-vm,1400,https://github.com/geerlingguy/drupal-vm
StefanScherer,packer-windows,1100,https://github.com/StefanScherer/packer-windows
timsutton,osx-vm-templates,1100,https://github.com/timsutton/osx-vm-templates
hypriot,image-builder-rpi,1100,https://github.com/hypriot/image-builder-rpi
