username,repo_name,stars,repo_url
neovim,neovim,64200,https://github.com/neovim/neovim
junegunn,fzf,51300,https://github.com/junegunn/fzf
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
junegunn,vim-plug,30900,https://github.com/junegunn/vim-plug
vim,vim,29900,https://github.com/vim/vim
ycm-core,YouCompleteMe,24700,https://github.com/ycm-core/YouCompleteMe
syl20bnr,spacemacs,22900,https://github.com/syl20bnr/spacemacs
neoclide,coc.nvim,22500,https://github.com/neoclide/coc.nvim
helix-editor,helix,20400,https://github.com/helix-editor/helix
SpaceVim,SpaceVim,19700,https://github.com/SpaceVim/SpaceVim
preservim,nerdtree,18300,https://github.com/preservim/nerdtree
vim-airline,vim-airline,17200,https://github.com/vim-airline/vim-airline
doomemacs,doomemacs,16400,https://github.com/doomemacs/doomemacs
jarun,nnn,16000,https://github.com/jarun/nnn
NvChad,NvChad,15600,https://github.com/NvChad/NvChad
fatih,vim-go,15300,https://github.com/fatih/vim-go
mhinz,vim-galore,15300,https://github.com/mhinz/vim-galore
LunarVim,LunarVim,13800,https://github.com/LunarVim/LunarVim
powerline,powerline,13700,https://github.com/powerline/powerline
ranger,ranger,13100,https://github.com/ranger/ranger
