username,repo_name,stars,repo_url
mrdoob,three.js,90400,https://github.com/mrdoob/three.js
aframevr,aframe,15200,https://github.com/aframevr/aframe
bulletphysics,bullet3,10400,https://github.com/bulletphysics/bullet3
playcanvas,engine,8200,https://github.com/playcanvas/engine
relativty,Relativty,6000,https://github.com/relativty/Relativty
ExtendRealityLtd,VRTK,3600,https://github.com/ExtendRealityLtd/VRTK
immersive-web,webxr,2700,https://github.com/immersive-web/webxr
viromedia,viro,2000,https://github.com/viromedia/viro
widgetti,ipyvolume,1800,https://github.com/widgetti/ipyvolume
praydog,REFramework,1500,https://github.com/praydog/REFramework
bjornbytes,lovr,1500,https://github.com/bjornbytes/lovr
supermedium,aframe-react,1400,https://github.com/supermedium/aframe-react
aframevr,awesome-aframe,1300,https://github.com/aframevr/awesome-aframe
letoram,arcan,1300,https://github.com/letoram/arcan
supermedium,superframe,1300,https://github.com/supermedium/superframe
the3deer,android-3D-model-viewer,1300,https://github.com/the3deer/android-3D-model-viewer
networked-aframe,networked-aframe,1100,https://github.com/networked-aframe/networked-aframe
AsPJT,DungeonTemplateLibrary,991,https://github.com/AsPJT/DungeonTemplateLibrary
exokitxr,exokit,951,https://github.com/exokitxr/exokit
reinterpretcat,utymap,902,https://github.com/reinterpretcat/utymap
