username,repo_name,stars,repo_url
PanJiaChen,vue-element-admin,81600,https://github.com/PanJiaChen/vue-element-admin
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
webpack,webpack,62800,https://github.com/webpack/webpack
bailicangdu,vue2-elm,39900,https://github.com/bailicangdu/vue2-elm
akveo,ngx-admin,24400,https://github.com/akveo/ngx-admin
markerikson,react-redux-links,22200,https://github.com/markerikson/react-redux-links
electron-react-boilerplate,electron-react-boilerplate,21100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
vercel,turbo,20500,https://github.com/vercel/turbo
jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
verekia,js-stack-from-scratch,19800,https://github.com/verekia/js-stack-from-scratch
mojs,mojs,17900,https://github.com/mojs/mojs
alibaba,ice,17500,https://github.com/alibaba/ice
jamiebuilds,react-loadable,16500,https://github.com/jamiebuilds/react-loadable
SimulatedGREG,electron-vue,15300,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14800,https://github.com/grab/front-end-guide
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
bailicangdu,vue2-manage,12700,https://github.com/bailicangdu/vue2-manage
webpack-contrib,webpack-bundle-analyzer,12200,https://github.com/webpack-contrib/webpack-bundle-analyzer
d2-projects,d2-admin,12100,https://github.com/d2-projects/d2-admin
jaredpalmer,razzle,11000,https://github.com/jaredpalmer/razzle
