username,repo_name,stars,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,94300,https://github.com/nodejs/node
microsoft,PowerToys,88800,https://github.com/microsoft/PowerToys
atom,atom,59300,https://github.com/atom/atom
ventoy,Ventoy,47400,https://github.com/ventoy/Ventoy
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
2dust,v2rayN,40300,https://github.com/2dust/v2rayN
x64dbg,x64dbg,40300,https://github.com/x64dbg/x64dbg
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
marktext,marktext,39200,https://github.com/marktext/marktext
PowerShell,PowerShell,37700,https://github.com/PowerShell/PowerShell
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
agalwood,Motrix,36500,https://github.com/agalwood/Motrix
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
massgravel,Microsoft-Activation-Scripts,30100,https://github.com/massgravel/Microsoft-Activation-Scripts
lencx,ChatGPT,28800,https://github.com/lencx/ChatGPT
files-community,Files,27100,https://github.com/files-community/Files
coreybutler,nvm-windows,27000,https://github.com/coreybutler/nvm-windows
