username,repo_name,stars,repo_url
digitalocean,nginxconfig.io,25500,https://github.com/digitalocean/nginxconfig.io
benweet,stackedit,20200,https://github.com/benweet/stackedit
Automattic,wp-calypso,12200,https://github.com/Automattic/wp-calypso
roots,sage,12100,https://github.com/roots/sage
WordPress,gutenberg,8600,https://github.com/WordPress/gutenberg
woocommerce,woocommerce,8500,https://github.com/woocommerce/woocommerce
wpscanteam,wpscan,7400,https://github.com/wpscanteam/wpscan
roots,bedrock,5800,https://github.com/roots/bedrock
timber,timber,5200,https://github.com/timber/timber
wp-cli,wp-cli,4700,https://github.com/wp-cli/wp-cli
Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
postlight,headless-wp-starter,4300,https://github.com/postlight/headless-wp-starter
corcel,corcel,3900,https://github.com/corcel/corcel
lando,lando,3700,https://github.com/lando/lando
wordpress-mobile,WordPress-iOS,3500,https://github.com/wordpress-mobile/WordPress-iOS
wp-graphql,wp-graphql,3400,https://github.com/wp-graphql/wp-graphql
wp-bootstrap,wp-bootstrap-navwalker,3300,https://github.com/wp-bootstrap/wp-bootstrap-navwalker
solstice23,argon-theme,3300,https://github.com/solstice23/argon-theme
ahmadawais,create-guten-block,3200,https://github.com/ahmadawais/create-guten-block
mashirozx,sakura,3000,https://github.com/mashirozx/sakura
