username,repo_name,stars,repo_url
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
xbmc,xbmc,15600,https://github.com/xbmc/xbmc
qax-os,excelize,14700,https://github.com/qax-os/excelize
jhy,jsoup,10100,https://github.com/jhy/jsoup
troyeguo,koodo-reader,10000,https://github.com/troyeguo/koodo-reader
mikefarah,yq,8300,https://github.com/mikefarah/yq
reactiveui,refit,7000,https://github.com/reactiveui/refit
pocoproject,poco,6900,https://github.com/pocoproject/poco
dbohdan,structured-text-tools,6700,https://github.com/dbohdan/structured-text-tools
rest-assured,rest-assured,6300,https://github.com/rest-assured/rest-assured
sparklemotion,nokogiri,6000,https://github.com/sparklemotion/nokogiri
wader,fq,5900,https://github.com/wader/fq
mledoze,countries,5700,https://github.com/mledoze/countries
wiremock,wiremock,5500,https://github.com/wiremock/wiremock
ServiceStack,ServiceStack,5200,https://github.com/ServiceStack/ServiceStack
theseer,tokenizer,5000,https://github.com/theseer/tokenizer
Leonidas-from-XIV,node-xml2js,4700,https://github.com/Leonidas-from-XIV/node-xml2js
dr5hn,countries-states-cities-database,4600,https://github.com/dr5hn/countries-states-cities-database
tboox,tbox,4300,https://github.com/tboox/tbox
TomWright,dasel,4100,https://github.com/TomWright/dasel
