username,repo_name,stars,repo_url
dotnet-architecture,eShopOnContainers,22800,https://github.com/dotnet-architecture/eShopOnContainers
mono,mono,10400,https://github.com/mono/mono
unoplatform,uno,7600,https://github.com/unoplatform/uno
reactiveui,ReactiveUI,7400,https://github.com/reactiveui/ReactiveUI
reactiveui,refit,7000,https://github.com/reactiveui/refit
NLog,NLog,5800,https://github.com/NLog/NLog
xamarin,Xamarin.Forms,5600,https://github.com/xamarin/Xamarin.Forms
neuecc,MessagePack-CSharp,4600,https://github.com/neuecc/MessagePack-CSharp
bitwarden,mobile,4500,https://github.com/bitwarden/mobile
xamarin,xamarin-forms-samples,4300,https://github.com/xamarin/xamarin-forms-samples
MvvmCross,MvvmCross,3800,https://github.com/MvvmCross/MvvmCross
mono,SkiaSharp,3300,https://github.com/mono/SkiaSharp
migueldeicaza,TensorFlowSharp,3100,https://github.com/migueldeicaza/TensorFlowSharp
beto-rodriguez,LiveCharts2,2700,https://github.com/beto-rodriguez/LiveCharts2
Caliburn-Micro,Caliburn.Micro,2600,https://github.com/Caliburn-Micro/Caliburn.Micro
mono,CppSharp,2600,https://github.com/mono/CppSharp
jsuarezruiz,xamarin-forms-goodlooking-UI,2500,https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
reactiveui,Akavache,2300,https://github.com/reactiveui/Akavache
xamarin,xamarin-macios,2200,https://github.com/xamarin/xamarin-macios
XamSome,awesome-xamarin,1800,https://github.com/XamSome/awesome-xamarin
