username,repo_name,stars,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
facebook,react-native,109000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
google,material-design-icons,47800,https://github.com/google/material-design-icons
Solido,awesome-flutter,46100,https://github.com/Solido/awesome-flutter
vsouza,awesome-ios,42400,https://github.com/vsouza/awesome-ios
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
dcloudio,uni-app,37900,https://github.com/dcloudio/uni-app
ultralytics,yolov5,36900,https://github.com/ultralytics/yolov5
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
dkhamsing,open-source-ios-apps,34200,https://github.com/dkhamsing/open-source-ios-apps
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
bilibili,ijkplayer,31300,https://github.com/bilibili/ijkplayer
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
SDWebImage,SDWebImage,24500,https://github.com/SDWebImage/SDWebImage
airbnb,lottie-ios,23800,https://github.com/airbnb/lottie-ios
react-native-elements,react-native-elements,23500,https://github.com/react-native-elements/react-native-elements
ReactiveX,RxSwift,23200,https://github.com/ReactiveX/RxSwift
