username,repo_name,stars,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,94300,https://github.com/nodejs/node
atom,atom,59300,https://github.com/atom/atom
jaywcjlove,awesome-mac,59200,https://github.com/jaywcjlove/awesome-mac
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
vercel,hyper,40600,https://github.com/vercel/hyper
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
marktext,marktext,39200,https://github.com/marktext/marktext
PowerShell,PowerShell,37700,https://github.com/PowerShell/PowerShell
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
agalwood,Motrix,36500,https://github.com/agalwood/Motrix
Homebrew,brew,35500,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
iina,iina,32900,https://github.com/iina/iina
shadowsocks,ShadowsocksX-NG,31300,https://github.com/shadowsocks/ShadowsocksX-NG
sickcodes,Docker-OSX,29600,https://github.com/sickcodes/Docker-OSX
mathiasbynens,dotfiles,28900,https://github.com/mathiasbynens/dotfiles
