username,repo_name,stars,repo_url
goldbergyoni,nodebestpractices,87800,https://github.com/goldbergyoni/nodebestpractices
meteor,meteor,43400,https://github.com/meteor/meteor
yarnpkg,yarn,41100,https://github.com/yarnpkg/yarn
oven-sh,bun,40300,https://github.com/oven-sh/bun
lerna,lerna,34400,https://github.com/lerna/lerna
pnpm,pnpm,22900,https://github.com/pnpm/pnpm
verdaccio,verdaccio,14600,https://github.com/verdaccio/verdaccio
renovatebot,renovate,11700,https://github.com/renovatebot/renovate
jaredpalmer,tsdx,10700,https://github.com/jaredpalmer/tsdx
astrit,css.gg,9000,https://github.com/astrit/css.gg
raineorshine,npm-check-updates,8100,https://github.com/raineorshine/npm-check-updates
apify,crawlee,8000,https://github.com/apify/crawlee
miniMAC,magic,8000,https://github.com/miniMAC/magic
sindresorhus,np,7100,https://github.com/sindresorhus/np
npm,cli,7000,https://github.com/npm/cli
voidcosmos,npkill,6900,https://github.com/voidcosmos/npkill
release-it,release-it,6300,https://github.com/release-it/release-it
jaywcjlove,reference,5500,https://github.com/jaywcjlove/reference
mysticatea,npm-run-all,5300,https://github.com/mysticatea/npm-run-all
matteobruni,tsparticles,5200,https://github.com/matteobruni/tsparticles
