username,repo_name,stars,repo_url
microsoft,ML-For-Beginners,45700,https://github.com/microsoft/ML-For-Beginners
Avik-Jain,100-Days-Of-ML-Code,40500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
jakevdp,PythonDataScienceHandbook,38000,https://github.com/jakevdp/PythonDataScienceHandbook
apachecn,ailearning,35000,https://github.com/apachecn/ailearning
ageron,handson-ml,25000,https://github.com/ageron/handson-ml
donnemartin,data-science-ipython-notebooks,24800,https://github.com/donnemartin/data-science-ipython-notebooks
onnx,onnx,14400,https://github.com/onnx/onnx
virgili0,Virgilio,13400,https://github.com/virgili0/Virgilio
ml-tooling,best-of-ml-python,13200,https://github.com/ml-tooling/best-of-ml-python
rasbt,python-machine-learning-book,11800,https://github.com/rasbt/python-machine-learning-book
dask,dask,10900,https://github.com/dask/dask
EpistasisLab,tpot,9000,https://github.com/EpistasisLab/tpot
microsoft,onnxruntime,8700,https://github.com/microsoft/onnxruntime
Yorko,mlcourse.ai,8700,https://github.com/Yorko/mlcourse.ai
ljpzzz,machinelearning,7500,https://github.com/ljpzzz/machinelearning
automl,auto-sklearn,6800,https://github.com/automl/auto-sklearn
rasbt,python-machine-learning-book-2nd-edition,6800,https://github.com/rasbt/python-machine-learning-book-2nd-edition
alteryx,featuretools,6600,https://github.com/alteryx/featuretools
sktime,sktime,6300,https://github.com/sktime/sktime
autogluon,autogluon,5500,https://github.com/autogluon/autogluon
